year,runoff_depth_obs_mm,runoff_depth_sim_mm,runoff_depth_rel_error_pct,peak_obs_m3s,peak_sim_m3s,peak_rel_error_pct
1986,942.1596404494383,1007.2824689512486,6.912080045239975,1570.0,1489.9599957610365,-5.098089441972201
1987,1310.341752808989,1369.4369450391723,4.50990683182464,1310.0,2383.9275818259944,81.97920471954156
1988,1012.111604494382,1081.3503681649026,6.841020630833497,1970.0,2078.4215947668863,5.503634252126209
1989,1399.8832179775281,1490.2073316705985,6.4522606266803795,1680.0,2593.5049290571847,54.37529339626099
1990,1150.016359550562,1128.464818679082,-1.8740203730582026,1690.0,2353.256602729194,39.24595282421267
1991,1487.0766741573034,1419.1609670298749,-4.567061558269346,1860.0,2395.4006147024347,28.784979285077135
1992,1073.0278112359551,1186.4291736134298,10.56835258042889,1810.0,2837.3148867656805,56.75772855059008
1993,1691.747595505618,1739.8423350278008,2.842902785850193,3090.0,3578.5675030539987,15.811246053527467
1994,1155.3385348314607,1151.7950521618873,-0.3067051399000007,3360.0,3651.534243229158,8.676614381820183
1995,1587.6294471910114,1709.0185810831156,7.645936153859935,2340.0,3371.7881788179848,44.09351191529849
1996,1599.63031011236,1586.8047068874207,-0.8017854590438651,5310.0,3705.201783117121,-30.222188641862125
1997,1072.0790292134834,1240.3501751806405,15.695778145255481,2000.0,2356.87465586009,17.843732793004506
1998,1843.15793258427,1759.7282477479002,-4.526453396177175,3030.0,3442.951349105528,13.628757396222053
