sample_id,K,B,C,WM,WUM,WLM,FC,CG,CS,NSE,KGE,NSE_yearly_mean,KGE_yearly_mean
1,0.7530054314844268,0.23159347980161016,0.060662184719397334,133.97537911326413,15.287252858350634,51.53041954254296,10.125697293808877,0.6488995690568122,0.22062038576620543,0.7673055646179532,0.8208907050638001,0.6894885743784454,0.7189057607040704
2,0.5176876642337281,0.31885222906290317,0.07869772815577927,124.95317365270233,25.76265593116173,54.880965419301745,12.529612182969856,0.6965220115541279,0.14775319917686774,0.715095955289733,0.761015349485817,0.6048968665272455,0.6541350356475947
3,0.7715098102428217,0.34470965268075426,0.08129375717601775,101.34628976722958,17.87977076716653,42.96312208842619,12.985734878019585,0.9566434812545619,0.14440814738947377,0.7688120263612852,0.8730915271049653,0.6956856514798948,0.7949254709452089
4,0.7357726463195654,0.25870650394946215,0.10266886700890719,91.41806597917335,18.203915331208595,44.53492924664718,12.44657887300953,0.664000557568873,0.17647420967585278,0.7585075554118768,0.8093681177629186,0.6749723941391176,0.7083531658703335
5,0.7750831837727132,0.3021541921505299,0.08223846215317766,99.90353081054869,20.132930635374606,66.1258650452221,11.63092108133496,0.7481382826075956,0.22829208549405797,0.8035268361669661,0.8606425947476548,0.7462986745067597,0.7714250729888769
6,0.6793572693018688,0.26238452104345245,0.08189169721964909,104.29708016689338,22.660307079898473,54.69814023719497,8.23992031510205,0.8620987179086156,0.16235952675693477,0.7259313468791448,0.7935584581319399,0.6246305564352236,0.6913440302866074
7,0.6637726770030615,0.3729714714518562,0.06191246759495768,141.30586012909663,25.602765526498644,51.809349571142164,8.09522043145963,0.9979463205863577,0.14046102624187354,0.7014181195263143,0.8208403290898014,0.5935701344872464,0.7158795197823574
8,0.5249542526763017,0.23934426217329374,0.10368087569741355,86.44232533834027,25.183217531888115,58.517136451720035,8.411970569780866,0.6442864799897412,0.21717390286041832,0.7016324278733133,0.7564837020656063,0.5835229343322864,0.6404188977911874
9,0.4497340601964885,0.311757127704248,0.10041002758569198,125.51679089924718,24.099441809982437,75.93096434535094,11.141803439529792,0.9070830114923166,0.24887213683935,0.7788681999189884,0.8369921075291692,0.7061114177484727,0.7501820666258018
10,0.6943607701340173,0.2819867501874443,0.08475368524347882,132.65905631495025,16.11747629152524,61.47264542270132,12.137662537640718,0.7700381804098592,0.22442812445542581,0.7993999646159106,0.8640842841409362,0.7391520190993159,0.770857025831909
11,0.4343121179866183,0.3749132949250744,0.08878968671101482,100.35361329712548,25.883557149722012,46.15370385642523,7.863808390093327,0.83902604266975,0.21108554427402565,0.7081676697121124,0.7570712718875189,0.5920393635989413,0.6477335683377246
12,0.59152539174597,0.22221895161664695,0.06934241001442504,131.13514469648754,19.158790863153243,67.27653480481615,11.87208614607598,0.8052882304787007,0.17270043246419317,0.7537097945718075,0.8148195621690869,0.6656141774032106,0.7152962296265225
13,0.7662285035384613,0.2890051833772005,0.05842012912292995,111.81782517393373,15.662878025025648,72.92836249165765,9.438333605689987,0.6680871248039806,0.1465561939959074,0.7220347924259345,0.770080154526042,0.6196861316713196,0.6673503501363084
14,0.7496168574321596,0.2874292190833883,0.09171286244762758,149.8672413221794,19.36679914084783,61.86355502891514,10.896396222163714,0.7918354368099014,0.21600122444194564,0.7976017902862926,0.8593650619538598,0.7359718450717553,0.7689629879542872
15,0.7598992650909987,0.32431772523317104,0.10224073900781493,95.03875781126901,14.483628070643599,65.77941389493508,8.442475746622343,0.7960192041239813,0.16347976948412893,0.7391501840020728,0.7958912442825532,0.6454770798875802,0.6960960163704576
16,0.7037608579218664,0.2667722146257948,0.08480425244239956,97.48075199370545,24.137445456905965,43.209208851187164,11.480947275465986,0.7677504640649954,0.18671320513418277,0.7718716596768793,0.8308597737795911,0.6954418376613307,0.7336000903184486
17,0.48334430925300254,0.30708445896358577,0.0636176363911093,144.68209683642533,18.194274415676663,56.74498210185662,11.269739641646101,0.8776142370090085,0.24108943796944116,0.781180314863275,0.8394051105017246,0.709399830511187,0.7494676275081169
18,0.45245256451894467,0.21246951403460115,0.09953514236291991,139.22160033385083,20.856646467202694,72.23470326410268,7.586035866799212,0.949148057434773,0.2510986403856221,0.7383996089796969,0.8056724051174182,0.6415576151974042,0.7053669692474643
19,0.7250839948355972,0.3048508869547415,0.08521624935239296,143.71117721515265,14.536946204822025,66.9740336679707,11.808680712315127,0.8589372953327533,0.23699013338055336,0.8135218697031901,0.8917066668570608,0.7624316481019473,0.8084703229490819
20,0.4568937145870894,0.2699779267341296,0.08108023852969141,95.49357576169736,22.158648105014727,51.47917186352612,9.37863589239106,0.8574612656173195,0.22378962248637113,0.7381845092579888,0.7913850896445496,0.6394820509083474,0.6881611008952183
21,0.467603776793619,0.356268348682516,0.06682317107109748,100.29918844408847,15.884957522177636,70.45989035362109,12.48712634967314,0.8960241858796256,0.14631828344885,0.7293680492964739,0.7944717686062106,0.6272716067492007,0.6989495659794401
22,0.7738122899419173,0.2352480295701877,0.06474115240001836,106.40917037001752,21.865078093617292,73.8324564095259,8.074427377550277,0.8437646828734122,0.20856118509670823,0.7694571818483927,0.8287593048631876,0.6928128246188006,0.7344216376268304
23,0.6025682989067984,0.2733318622814468,0.05610559931500817,149.20194008553125,25.285543222057697,68.8295597663172,10.211259318226698,0.8868217469984188,0.15878480574552756,0.7413641505277497,0.8141403221725181,0.6478107361325931,0.716756336462526
24,0.586899275999907,0.29091927392883343,0.09093772138984291,122.80271324461081,22.56506255168496,45.409344381245866,12.110493350188872,0.8557355177607593,0.2561028080062594,0.8062421988918391,0.880582402957467,0.7516047441919242,0.7932626707805663
25,0.7428253776196038,0.32932458861917446,0.068161201125248,143.82256890752063,22.913698200058107,53.4084137318453,10.166441612125922,0.988564507108723,0.19338606725433474,0.7696581759793562,0.8790773818746842,0.6992025905726867,0.8032263650701613
26,0.7069309727961189,0.29451487518277486,0.07461653403121095,146.56533634858872,19.072956494442032,68.08624970777296,9.896156678194126,0.7241829644356547,0.15908273566953843,0.7405803355659231,0.792138397539171,0.6470367744758414,0.6911478844716601
27,0.7624995149108439,0.2810789840737162,0.06413663750018354,123.00554171982704,18.497004105279693,53.83371382205659,7.218321166626037,0.6764995915877711,0.22955087014655157,0.7578572444804347,0.811772333042539,0.6754426651064507,0.7081116081356136
28,0.45561965874389093,0.2543101645793002,0.07057114250185462,145.1246519686814,24.39980037669295,76.4097347667776,8.927293565807576,0.7221003271189994,0.2594454375750864,0.7408665663085314,0.7871062158559868,0.6457873364882837,0.6794305061761917
29,0.5477392338025726,0.36595129391611847,0.07274442987757906,131.9399293802507,20.563510375310862,76.15930418351098,10.993292803818525,0.8242512529192483,0.15408294915009577,0.7364090866792041,0.7940914982407918,0.6388878456311359,0.6940989135582151
30,0.5103376606704264,0.3793910394706971,0.07517139692585564,115.66017494142388,23.328174381808466,57.344488004798144,10.930667171750294,0.878679194433471,0.14977403510033954,0.7272559270899295,0.7912073457649693,0.624658720029144,0.6921060173191707
31,0.6243491014057682,0.27787432186491856,0.05857467578864943,137.55384655198802,25.43472945761132,60.260152557671866,11.618738130800454,0.8877683400237146,0.23449711159418435,0.8010979719609336,0.8824725159026875,0.7428036213300582,0.7954990955362976
32,0.5970248068829659,0.3211707245250671,0.09925531692892202,125.85896997943134,19.46336648596733,54.809477758948546,10.85419852756285,0.7349780560080454,0.230332927721687,0.775986670803274,0.8320376543434349,0.7018161701088951,0.7310226665366912
33,0.4293432771663323,0.24013971137096624,0.10288424518995296,128.55803538441438,16.85117419248775,77.93492822239801,8.81343969075316,0.7049172651809161,0.18967830864088392,0.6716521713330059,0.7208303166763823,0.5340790784408496,0.6037190099976082
34,0.5427190439537515,0.25837849934421886,0.08425062730412954,103.2907963234137,18.886072069323156,52.332713082838914,10.1190821655814,0.9419327534099542,0.20344620667790328,0.7524039953044966,0.8344643701616188,0.6647876821898462,0.7394298184269404
35,0.461363466973531,0.24077523559818872,0.09273913108100965,132.4479861197169,22.824497573170127,66.1064907477764,7.178381742559371,0.9378415684544698,0.16525356625746143,0.6648863028867558,0.7408538583097859,0.5253762102081493,0.6295194117883784
36,0.5309353875306888,0.2604148938790791,0.09413182986703002,91.93947696010173,24.172985746684414,51.69766988204515,10.502028701017089,0.8122863331210108,0.2572055890877674,0.7788543785704061,0.8397391075897119,0.7066128011388558,0.7411398844569883
