parameter,spearman_rho_nse,spearman_rho_kge,abs_rho_mean
CS,0.5975653062811809,0.4581313125701396,0.5278483094256603
K,0.4802808920099112,0.5163888487649863,0.4983348703874487
FC,0.47866042956032845,0.4028675874176379,0.44076400848898317
CG,0.1495363281814242,0.46155846176068616,0.3055473949710552
WLM,-0.11109278991988798,-0.11599773330814786,0.11354526161401793
WUM,-0.06916832409248992,-0.05270769675218613,0.060938010422338026
WM,0.06722385804286714,0.002494694385493172,0.034859276214180154
C,0.032359470660785115,0.01940377115301281,0.025881620906898963
B,0.01416104623384704,-0.02360026222513583,0.018880654229491436
